index,YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WS2M
2024-12-01 00:00:00+00:00,2024,12,1,0,0.0,15.38,1.23
2024-12-01 01:00:00+00:00,2024,12,1,1,0.0,15.09,1.28
2024-12-01 02:00:00+00:00,2024,12,1,2,0.0,14.71,1.36
2024-12-01 03:00:00+00:00,2024,12,1,3,0.0,14.04,1.51
2024-12-01 04:00:00+00:00,2024,12,1,4,0.0,13.37,1.64
2024-12-01 05:00:00+00:00,2024,12,1,5,0.0,12.89,1.73
2024-12-01 06:00:00+00:00,2024,12,1,6,0.0,12.49,1.8
2024-12-01 07:00:00+00:00,2024,12,1,7,92.22,13.63,1.87
2024-12-01 08:00:00+00:00,2024,12,1,8,306.52,16.52,2.64
2024-12-01 09:00:00+00:00,2024,12,1,9,499.5,19.06,2.46
2024-12-01 10:00:00+00:00,2024,12,1,10,608.5,20.91,2.26
2024-12-01 11:00:00+00:00,2024,12,1,11,697.55,22.38,2.0
2024-12-01 12:00:00+00:00,2024,12,1,12,740.42,23.39,1.75
2024-12-01 13:00:00+00:00,2024,12,1,13,656.35,23.91,1.49
2024-12-01 14:00:00+00:00,2024,12,1,14,544.2,23.99,1.36
2024-12-01 15:00:00+00:00,2024,12,1,15,364.38,23.67,1.31
2024-12-01 16:00:00+00:00,2024,12,1,16,156.23,22.79,1.15
2024-12-01 17:00:00+00:00,2024,12,1,17,10.15,19.97,1.14
2024-12-01 18:00:00+00:00,2024,12,1,18,0.0,18.41,1.32
2024-12-01 19:00:00+00:00,2024,12,1,19,0.0,17.94,1.27
2024-12-01 20:00:00+00:00,2024,12,1,20,0.0,17.68,1.21
2024-12-01 21:00:00+00:00,2024,12,1,21,0.0,17.37,1.19
2024-12-01 22:00:00+00:00,2024,12,1,22,0.0,17.0,1.21
2024-12-01 23:00:00+00:00,2024,12,1,23,0.0,16.73,1.2
2024-12-02 00:00:00+00:00,2024,12,2,0,0.0,16.5,1.17
2024-12-02 01:00:00+00:00,2024,12,2,1,0.0,16.27,1.23
2024-12-02 02:00:00+00:00,2024,12,2,2,0.0,15.83,1.37
2024-12-02 03:00:00+00:00,2024,12,2,3,0.0,15.38,1.55
2024-12-02 04:00:00+00:00,2024,12,2,4,0.0,14.94,1.66
2024-12-02 05:00:00+00:00,2024,12,2,5,0.0,14.57,1.64
2024-12-02 06:00:00+00:00,2024,12,2,6,0.0,14.22,1.58
2024-12-02 07:00:00+00:00,2024,12,2,7,98.43,15.2,1.54
2024-12-02 08:00:00+00:00,2024,12,2,8,284.62,17.88,2.16
2024-12-02 09:00:00+00:00,2024,12,2,9,466.4,20.34,2.08
2024-12-02 10:00:00+00:00,2024,12,2,10,605.33,22.28,2.08
2024-12-02 11:00:00+00:00,2024,12,2,11,685.65,23.82,1.87
2024-12-02 12:00:00+00:00,2024,12,2,12,735.4,24.78,1.73
2024-12-02 13:00:00+00:00,2024,12,2,13,668.25,25.3,1.73
2024-12-02 14:00:00+00:00,2024,12,2,14,536.03,25.41,1.74
2024-12-02 15:00:00+00:00,2024,12,2,15,355.25,25.15,1.72
2024-12-02 16:00:00+00:00,2024,12,2,16,150.85,24.13,1.51
2024-12-02 17:00:00+00:00,2024,12,2,17,9.85,20.74,1.23
2024-12-02 18:00:00+00:00,2024,12,2,18,0.0,18.92,1.51
2024-12-02 19:00:00+00:00,2024,12,2,19,0.0,18.09,1.57
2024-12-02 20:00:00+00:00,2024,12,2,20,0.0,17.52,1.51
2024-12-02 21:00:00+00:00,2024,12,2,21,0.0,17.15,1.42
2024-12-02 22:00:00+00:00,2024,12,2,22,0.0,16.85,1.31
2024-12-02 23:00:00+00:00,2024,12,2,23,0.0,16.43,1.3
2024-12-03 00:00:00+00:00,2024,12,3,0,0.0,16.0,1.4
2024-12-03 01:00:00+00:00,2024,12,3,1,0.0,15.68,1.51
2024-12-03 02:00:00+00:00,2024,12,3,2,0.0,15.47,1.63
2024-12-03 03:00:00+00:00,2024,12,3,3,0.0,15.26,1.75
2024-12-03 04:00:00+00:00,2024,12,3,4,0.0,15.11,1.85
2024-12-03 05:00:00+00:00,2024,12,3,5,0.0,15.05,1.89
2024-12-03 06:00:00+00:00,2024,12,3,6,0.0,15.24,1.93
2024-12-03 07:00:00+00:00,2024,12,3,7,89.25,16.72,2.31
